name	kind	access	columns	category	description
amzadapi_eligibility_v1__program	table	read	8	Amazon Ads API	Amazon Ads program eligibility per (merchant, marketplace, program), with the eligibility flag and any reasons Amazon gave for ineligibility.
amzadapi_exports_v1__ad	table	read	15	Amazon Ads API	One advertising ad per (merchant, marketplace, ad id) from the Amazon Ads API exports endpoint, with its ad group, campaign, ad product, state, delivery status and creative.
amzadapi_exports_v1__adgroup	table	read	14	Amazon Ads API	One advertising ad group per (merchant, marketplace, ad group id) from the Amazon Ads API exports endpoint, with its campaign, ad product, state, delivery status, bid and optimization settings.
amzadapi_exports_v1__campaign	table	read	20	Amazon Ads API	One advertising campaign per (merchant, marketplace, campaign id) from the Amazon Ads API exports endpoint, with its ad product, state, flight dates, budget caps, targeting settings and delivery status.
amzadapi_exports_v1__target	table	read	16	Amazon Ads API	One advertising target per (merchant, marketplace, target id) from the Amazon Ads API exports endpoint, with its campaign and ad group, target type and expression, bid, negative flag and delivery status.
amzadapi_reports_v1__product01__byDay	table	read	61	Amazon Ads API	Daily Amazon Ads product-attribution report: one row per day, ad entity and converted-product dimension, showing which advertised products led to purchases of which converted products.
amzadapi_reports_v1__search_asin_placement__byDay	table	read	72	Amazon Ads API	Daily Amazon Ads search-term and placement report: one row per day, ad entity, target, search term and placement, with impressions, clicks, cost, purchases, units sold and sales.
amzspapi_catalog_items_v20220401__catalogitem	table	read	11	Amazon catalog	Core SP-API Catalog Items 2022-04-01 record per (marketplace_code, asin): dimensions, identifiers, thumbnail, product type, parent ASIN, variation theme and summaries.
amzspapi_catalog_items_v20220401__itemattributes	table	read	5	Amazon catalog	The full SP-API Catalog Items 2022-04-01 attribute document per (marketplace_code, asin), stored verbatim in data.
amzspapi_catalog_items_v20220401__itemattributes_lang	table	read	6	Amazon catalog	The language-specific SP-API Catalog Items 2022-04-01 attribute document per (marketplace_code, lang, asin), stored verbatim in data.
amzspapi_catalog_items_v20220401__itemimages	table	read	5	Amazon catalog	The SP-API Catalog Items 2022-04-01 image set per (marketplace_code, asin), stored verbatim in images.
amzspapi_searchCatalogItems_v2020__asin	table	read	9	Amazon catalog	Per-ASIN metadata dimension for search-catalog scrapes, keyed (marketplaceId, asin): item name, brand, image, parent ASIN and summaries.
amzspapi_searchCatalogItems_v2020__rank	table	read	4	Amazon catalog	One ranked ASIN per SP-API searchCatalogItems scrape, keyed (targetId, scrapeTime, rank).
amzspapi_searchCatalogItems_v2020__scrape	table	read	7	Amazon catalog	One completed SP-API searchCatalogItems scrape per (targetId, scrapeTime), recording the depth, page and item counts and the run's status.
amzspapi_searchCatalogItems_v2020__target	table	read	7	Amazon catalog	Registry of SP-API searchCatalogItems scrape units: one row per (merchant, marketplace, keyword, locale), addressed by the deterministic targetId that keys its scrapes and ranks.
amzagg_profit__orderItem	table	read	30	Amazon finances and profit	Materialized P&L order-item atom: one row per (merchantId, marketplaceId, kind, orderId, sku, sourceKey).
amzagg_profit__orderItemProjectionState	table	read	11	Amazon finances and profit	Completeness state of the amzagg_profit__orderItem projection, one row per merchant.
amzfact_ledger_build	table	read	11	Amazon finances and profit	What one ledger write covered and what it could not place, one row per (merchantId, dateFirst, dateLast).
amzfact_ledger_item	table	read	4	Amazon finances and profit	A ledger transaction's per-SKU dimension: SKU, ASIN and units, one row per (transactionId, sku).
amzfact_ledger_posting	table	read	7	Amazon finances and profit	One posting of a ledger transaction: a signed amount against an account.
amzfact_ledger_transaction	table	read	25	Amazon finances and profit	One Amazon Finances document as a balanced double-entry transaction: the resolved, deduplicated, flattened form of the source document.
amzspapi_finances_v20240619__Transaction	table	read	14	Amazon finances and profit	One SP-API Finances 2024-06-19 transaction event per (merchantId, transactionKey), with the full event in doc.
amzspapi_finances_v20240619__TransactionItemProjectionState	table	read	16	Amazon finances and profit	Completeness state of the Finance item projection, one row per merchant.
amzspapi_finances_v20240619__TransactionItemSummary	table	read	21	Amazon finances and profit	Normalized projection of one items entry of an amzspapi_finances_v20240619__Transaction row, keyed by its zero-based itemIndex.
amzfact_fnsku_fbaInventory	table	read	31	Amazon inventory and offers	FBA inventory at the physical grain: one row per (merchant, marketplace, FNSKU), with the whole quantity tree flattened.
amzfact_sku_identity	table	read	10	Amazon inventory and offers	What a seller SKU points at: one row per (merchant, seller SKU) carrying FNSKU, ASIN and condition.
amzop_latest__byStoreAsin	table	read	6	Amazon inventory and offers	Latest observation time per (type, merchant, marketplace, ASIN) across the listing and orders report sources.
amzspapi_awd_v2024__InboundOrder	table	read	8	Amazon inventory and offers	An AWD inbound order — the supplier-to-AWD leg — one row per (merchantId, orderId).
amzspapi_awd_v2024__InboundShipment	table	read	18	Amazon inventory and offers	An AWD inbound shipment on the supplier-to-AWD leg, one row per (merchantId, shipmentId).
amzspapi_awd_v2024__InboundShipmentSkuQuantity	table	read	8	Amazon inventory and offers	One SKU line on an AWD inbound shipment, one row per (merchantId, shipmentId, sku).
amzspapi_awd_v2024__Inventory	table	read	8	Amazon inventory and offers	Amazon Warehousing and Distribution (AWD) on-hand inventory, one row per (merchantId, sku).
amzspapi_awd_v2024__ReplenishmentOrder	table	read	10	Amazon inventory and offers	An AWD replenishment order — the AWD-to-FBA leg — one row per (merchantId, orderId).
amzspapi_awd_v2024__ReplenishmentOrderProduct	table	read	4	Amazon inventory and offers	One requested product line on an AWD replenishment order, one row per (merchantId, orderId, sku), so replenishment demand is joinable by SKU.
amzspapi_awd_v2024__ReplenishmentOutboundShipment	table	read	6	Amazon inventory and offers	An outbound shipment summary on an AWD replenishment order, one row per (merchantId, shipmentId) — the only record of the AWD-to-FBA shipping leg, which is why it is a table rather than JSON on the order.
amzspapi_fbaInbound_v0__ShipmentItem	table	read	8	Amazon inventory and offers	One item line on an FBA inbound shipment as reported by the older FBA Inbound API, one row per (merchantId, shipmentId, msku).
amzspapi_fbaInbound_v2024__InboundPlan	table	read	11	Amazon inventory and offers	An FBA inbound plan, one row per (merchantId, inboundPlanId).
amzspapi_fbaInbound_v2024__Shipment	table	read	16	Amazon inventory and offers	An FBA inbound shipment, one row per (merchantId, shipmentId).
amzspapi_fbaInbound_v2024__ShipmentItem	table	read	10	Amazon inventory and offers	One line item on an FBA inbound shipment, one row per (merchantId, shipmentId, index), where index is the position of the line within one full walk of that shipment's items.
amzspapi_fbaInventory_v1__InventorySummary	table	read	7	Amazon inventory and offers	Latest FBA inventory summary per (merchant, marketplace, seller SKU) from SP-API FBA Inventory v1, with the full summary — fulfillable, inbound, reserved, researching and unfulfillable quantities — in doc.
amzms_v1__adgroups	table	read	11	Amazon Marketing Stream	Latest Amazon Marketing Stream state of one ad group, per (advertiser, marketplace, ad group).
amzms_v1__ads	table	read	11	Amazon Marketing Stream	Latest Amazon Marketing Stream state of one ad, per (advertiser, marketplace, ad).
amzms_v1__budget_usage	table	read	7	Amazon Marketing Stream	Amazon Marketing Stream budget-usage events, one row per (advertiser, marketplace, update time, budget scope, scope type, ad product), with the full event in doc.
amzms_v1__campaigns	table	read	10	Amazon Marketing Stream	Latest Amazon Marketing Stream state of one advertising campaign, per (advertiser, marketplace, campaign).
amzms_v1__sb_clickstream	table	read	9	Amazon Marketing Stream	Amazon Marketing Stream Sponsored Brands clickstream events, append-only: one immutable row per event, keyed by idempotency id within the (advertiser, marketplace, time window) stream.
amzms_v1__sb_conversion	table	read	9	Amazon Marketing Stream	Amazon Marketing Stream Sponsored Brands conversion events, append-only: one immutable row per event, keyed by idempotency id within the (advertiser, marketplace, time window) stream.
amzms_v1__sb_rich_media	table	read	9	Amazon Marketing Stream	Amazon Marketing Stream Sponsored Brands video and rich-media metrics, append-only: one immutable row per event, keyed by idempotency id within the (advertiser, marketplace, time window) stream.
amzms_v1__sb_traffic	table	read	9	Amazon Marketing Stream	Amazon Marketing Stream Sponsored Brands traffic events, append-only: one immutable row per event, keyed by idempotency id within the (advertiser, marketplace, time window) stream.
amzms_v1__sd_conversion	table	read	9	Amazon Marketing Stream	Amazon Marketing Stream Sponsored Display conversion events, append-only: one immutable row per event, keyed by idempotency id within the (advertiser, marketplace, time window) stream.
amzms_v1__sd_traffic	table	read	9	Amazon Marketing Stream	Amazon Marketing Stream Sponsored Display traffic events, append-only: one immutable row per event, keyed by idempotency id within the (advertiser, marketplace, time window) stream.
amzms_v1__sp_conversion	table	read	9	Amazon Marketing Stream	Amazon Marketing Stream Sponsored Products conversion events, append-only: one immutable row per event, keyed by idempotency id within the (advertiser, marketplace, time window) stream.
amzms_v1__sp_traffic	table	read	9	Amazon Marketing Stream	Amazon Marketing Stream Sponsored Products traffic events, append-only: one immutable row per event, keyed by idempotency id within the (advertiser, marketplace, time window) stream.
amzms_v1__targets	table	read	13	Amazon Marketing Stream	Latest Amazon Marketing Stream state of one advertising target, per (advertiser, marketplace, target).
amzspstream_ACCOUNT_STATUS_CHANGED	table	read	9	Amazon notifications	Append-only landing table for Amazon ACCOUNT_STATUS_CHANGED notifications, one row per message, carrying the previous and current account status and the full notification in payload.
amzspstream_ANY_OFFER_CHANGED	table	read	9	Amazon notifications	Append-only landing table for Amazon ANY_OFFER_CHANGED notifications, one row per message, carrying the affected ASIN and the full notification in payload.
amzspstream_B2B_ANY_OFFER_CHANGED	table	read	9	Amazon notifications	Append-only landing table for Amazon B2B_ANY_OFFER_CHANGED notifications, one row per message, carrying the affected ASIN and the full notification in payload.
amzspstream_DETAIL_PAGE_TRAFFIC_EVENT	table	read	12	Amazon notifications	Append-only landing table for Amazon DETAIL_PAGE_TRAFFIC_EVENT notifications.
amzspstream_FBA_INVENTORY_AVAILABILITY_CHANGES	table	read	11	Amazon notifications	Append-only landing table for Amazon FBA_INVENTORY_AVAILABILITY_CHANGES notifications.
amzspstream_FEE_PROMOTION	table	read	9	Amazon notifications	Append-only landing table for Amazon FEE_PROMOTION notifications, one row per message, carrying the fee promotion type.
amzspstream_FEED_PROCESSING_FINISHED	table	read	10	Amazon notifications	Append-only landing table for Amazon FEED_PROCESSING_FINISHED notifications, one row per message, carrying the feed id, feed type and processing status.
amzspstream_FULFILLMENT_ORDER_STATUS	table	read	10	Amazon notifications	Append-only landing table for Amazon FULFILLMENT_ORDER_STATUS notifications, one row per message, carrying the seller fulfillment order id, event type and fulfillment order status.
amzspstream_ORDER_CHANGE	table	read	9	Amazon notifications	Append-only landing table for Amazon ORDER_CHANGE notifications, one row per message, with the full notification in payload.
amzspstream_PRICING_HEALTH	table	read	10	Amazon notifications	Append-only landing table for Amazon PRICING_HEALTH notifications, one row per message, carrying the issue type and affected ASIN.
amzspstream_REPORT_PROCESSING_FINISHED	table	read	10	Amazon notifications	Append-only landing table for Amazon REPORT_PROCESSING_FINISHED notifications, one row per message, carrying the report id, report type and processing status.
amzspapi_orders_v0__Order	table	read	8	Amazon orders	One SP-API Orders v0 order per (merchantId, marketplaceId, orderKey), with the full order document in doc.
amzspapi_orders_v0__OrderItem	table	read	9	Amazon orders	One SP-API Orders v0 order line per (merchantId, marketplaceId, orderItemKey), with the full item document in doc.
amzreport_ALL_ORDERS	table	read	42	Amazon reports	Order line items from the Amazon all-orders report (GET_FLAT_FILE_ALL_ORDERS_DATA_BY_LAST_UPDATE_GENERAL), one row per (merchant, marketplace, Amazon order id, SKU).
amzreport_COUPON_PERFORMANCE	table	read	9	Amazon reports	Coupon performance from GET_COUPON_PERFORMANCE_REPORT, one row per (merchant, marketplace, coupon).
amzreport_FBA_CUSTOMER_RETURNS	table	read	17	Amazon reports	Customer returns received at Amazon fulfillment centres, from GET_FBA_FULFILLMENT_CUSTOMER_RETURNS_DATA, one row per returned unit group keyed (merchant, return date, order, FNSKU, index), with the disposition, reason and status of the return.
amzreport_FBA_FEE_PREVIEW	table	read	27	Amazon reports	Estimated Amazon selling and fulfilment fees per (merchant, marketplace, SKU), from GET_FBA_ESTIMATED_FBA_FEES_TXT_DATA, with the item's dimensions and weight.
amzreport_FBA_INBOUND_NONCOMPLIANCE	table	read	14	Amazon reports	Inbound shipment noncompliance events Amazon reports against a shipment: delivery delays, labelling issues, carton quantity mismatches and tracking problems.
amzreport_FBA_INVENTORY_PLANNING	table	read	8	Amazon reports	FBA inventory-health metrics per (merchant, marketplace, SKU) from GET_FBA_INVENTORY_PLANNING_DATA.
amzreport_FBA_REIMBURSEMENTS	table	read	20	Amazon reports	Itemized FBA inventory reimbursements from GET_FBA_REIMBURSEMENTS_DATA, one row per (merchant, reimbursement, index), with the reason, amount and the quantities reimbursed in cash and in inventory.
amzreport_FBA_REMOVAL_ORDER_DETAIL	table	read	21	Amazon reports	Removal-order lines from GET_FBA_FULFILLMENT_REMOVAL_ORDER_DETAIL_DATA, one row per (merchant, request time, order, SKU, index), with the requested, cancelled, disposed, shipped and in-process quantities and the removal fee.
amzreport_FBA_REMOVAL_SHIPMENT_DETAIL	table	read	14	Amazon reports	Removal-shipment tracking from GET_FBA_FULFILLMENT_REMOVAL_SHIPMENT_DETAIL_DATA, one row per (merchant, request time, order, SKU, index), with the carrier, tracking number, disposition and shipped quantity.
amzreport_FBA_STORAGE_FEE	table	read	25	Amazon reports	Estimated monthly FBA storage fees from GET_FBA_STORAGE_FEE_CHARGES_DATA, one row per (merchant, country, month of charge, FNSKU, fulfilment centre, index), with the item's measured volume and average quantity on hand.
amzreport_LEDGER_DETAIL	table	read	20	Amazon reports	FBA inventory movements from the Inventory Ledger detailed view (GET_LEDGER_DETAIL_VIEW_DATA), one row per event keyed (merchant, date, FNSKU, event type, index), with the quantity moved, the fulfilment centre, disposition and reason.
amzreport_LEDGER_SUMMARY	table	read	26	Amazon reports	FBA inventory movement summaries from the Inventory Ledger summary view (GET_LEDGER_SUMMARY_VIEW_DATA), one row per (merchant, time unit, period start, location level, location, FNSKU, disposition).
amzreport_MERCHANT_LISTINGS_ALL	table	read	7	Amazon reports	Every listing in the seller's catalogue, from GET_MERCHANT_LISTINGS_ALL_DATA, one row per (merchant, marketplace, seller SKU) with the report row in doc.
amzreport_OPEN_LISTINGS	table	read	7	Amazon reports	Listings currently available for sale, from GET_FLAT_FILE_OPEN_LISTINGS_DATA, one row per (merchant, marketplace, seller SKU) with the report row in doc.
amzreport_PROMOTION_PERFORMANCE	table	read	18	Amazon reports	Promotion performance from GET_PROMOTION_PERFORMANCE_REPORT, one row per (merchant, marketplace, promotion): glance views, units sold and revenue, per-product metrics in includedProducts, and a derived asins lookup array.
amzreport_SALES_AND_TRAFFIC__skuByDay	table	read	10	Amazon reports	Daily sales and traffic per (merchant, marketplace, date, SKU) from GET_SALES_AND_TRAFFIC_REPORT, with the report's salesByAsin and trafficByAsin blocks in sales and traffic.
amzreport_SALES_AND_TRAFFIC__store	table	read	8	Amazon reports	Storefront-wide sales and traffic per (merchant, marketplace, granularity, date) from GET_SALES_AND_TRAFFIC_REPORT — not broken down by SKU — with the report's salesByDate and trafficByDate blocks in sales and traffic.
amzreport_SEARCH_CATALOG_PERFORMANCE	table	read	12	Amazon reports	Brand Analytics search catalogue performance per ASIN and reporting period, from GET_BRAND_ANALYTICS_SEARCH_CATALOG_PERFORMANCE_REPORT.
amzreport_SEARCH_QUERY_PERFORMANCE	table	read	15	Amazon reports	Brand Analytics search query performance per (ASIN, search query, reporting period), from GET_BRAND_ANALYTICS_SEARCH_QUERY_PERFORMANCE_REPORT, with the query's score and volume and the impression, click, cart-add and purchase blocks.
amzreport_SETTLEMENT_V2	table	read	20	Amazon reports	Transaction rows of a V2 settlement report (GET_V2_SETTLEMENT_REPORT_DATA_FLAT_FILE_V2), one row per (merchant, settlement, index), where index is the 1-based position in the report excluding its summary row.
amzreport_SETTLEMENT_V2__summary	table	read	9	Amazon reports	One row per V2 settlement (GET_V2_SETTLEMENT_REPORT_DATA_FLAT_FILE_V2): the settlement period, deposit date and total amount, taken from the report's summary row.
amazon_ads_ad	view	read	18	Curated views	Merged live view of Amazon advertising ads: the periodic Export table (amzadapi_exports_v1__ad) reconciled with the near-realtime Amazon Marketing Stream snapshot (amzms_v1__ads), on the same merge semantics as amazon_ads_campaign.
amazon_ads_adgroup	view	read	17	Curated views	Merged live view of Amazon advertising ad groups: the periodic Export table (amzadapi_exports_v1__adgroup) reconciled with the near-realtime Amazon Marketing Stream snapshot (amzms_v1__adgroups), on the same merge semantics as amazon_ads_campaign.
amazon_ads_campaign	view	read	23	Curated views	Merged live view of Amazon advertising campaigns: the periodic Export table (amzadapi_exports_v1__campaign) reconciled with the near-realtime Amazon Marketing Stream snapshot (amzms_v1__campaigns).
amazon_ads_target	view	read	19	Curated views	Merged live view of Amazon advertising targets: the periodic Export table (amzadapi_exports_v1__target) reconciled with the near-realtime Amazon Marketing Stream snapshot (amzms_v1__targets), on the same merge semantics as amazon_ads_campaign.
amazon_fba_inventory_summary	view	read	28	Curated views	DEPRECATED — do not build on this view.
amazon_listing_all	view	read	22	Curated views	Flattened view of all merchant listings — active, inactive and incomplete — with full product metadata, from the GET_MERCHANT_LISTINGS_ALL_DATA report (amzreport_MERCHANT_LISTINGS_ALL).
amazon_listing_open	view	read	19	Curated views	Flattened view of currently open listings with consumer and B2B pricing, from the GET_FLAT_FILE_OPEN_LISTINGS_DATA report (amzreport_OPEN_LISTINGS).
amazon_orders_by_day_and_sku	view	read	20	Curated views	Daily order-item totals per SKU from amzspapi_orders_v0__OrderItem: one row per (local date, merchant_id, marketplace_id, sku, asin, currency), with the order count, quantities ordered and shipped, and price, tax and promotion totals both including and excluding tax.
amazon_sales_and_traffic	view	read	36	Curated views	Flattened view of sales and traffic by SKU and date: the amzreport_SALES_AND_TRAFFIC__skuByDay report with every sales and traffic metric extracted into its own column rather than left nested.
